"Designator","Mid X","Mid Y","Layer","Rotation"
"C5","70.3mm","-63.8625mm","top","90.0"
"J2","56mm","-93.6mm","top","0.0"
"On/Off/switch1","78.8mm","-50.9mm","top","90.0"
"U2","74.450001mm","-59.19825mm","top","-90.0"
"C1","69.9mm","-59.6375mm","top","-90.0"
"C4","71.8mm","-63.8625mm","top","90.0"
"L1","74.8mm","-61.94045mm","top","-90.0"
"R1","75.2mm","-56.3mm","top","0.0"
"U1","74.17mm","-78.38mm","top","0.0"
"C3","77.2mm","-60.4mm","top","-90.0"
"J3","61.065701mm","-59.3mm","top","-90.0"
"J1","107.725mm","-54.875mm","top","0.0"
"C2","71.950001mm","-59.16545mm","top","-90.0"
